timestamp,date,type,metric,direction,change_pct,absolute_change,value,volume,volume_change_pct,price
2025-03-16,2025-03-16,volume,volume,up,59.81862840852721,87470863.96991175,233697660.36607033,,,1.444770911741811
2025-03-29,2025-03-29,price_and_volume,price,down,-10.86392860534825,-0.13903657510997824,1.1407635797026314,117332181.01318619,80.29263305078244,
2025-04-03,2025-04-03,price_and_volume,price,down,-14.621362118193016,-0.15001180348671206,0.8759651354200665,81025732.47396903,96.95138435632278,
2025-04-07,2025-04-07,price,price,down,-17.452624214594504,-0.17134329499577106,0.8104190628534728,45975616.10312359,,
2025-04-08,2025-04-08,price_and_volume,price,up,10.523066155780892,0.08528093412313043,0.8956999969766032,98642838.47862643,114.55468537359006,
2025-04-11,2025-04-11,price,price,down,-10.549360523499175,-0.09404168685637393,0.7974027437979001,50111526.15020482,,
2025-04-14,2025-04-14,price,price,down,-11.77366693510048,-0.10164907814133195,0.7617104741684807,61353423.66025499,,
2025-04-21,2025-04-21,volume,volume,up,50.16553678755476,13975061.284572154,41832953.733236514,,,0.7727956720473693
2025-04-23,2025-04-23,volume,volume,up,59.6683424813865,21242322.57327693,56842980.62725832,,,0.8456036635864419
2025-04-27,2025-04-27,price,price,up,14.16746282968262,0.12981529912666712,1.0461070917169941,71897310.0081534,,
2025-04-28,2025-04-28,price,price,down,-10.210312958010437,-0.10681080794024633,0.9392962837767478,48554784.13880595,,
2025-05-02,2025-05-02,volume,volume,up,83.85899854072531,36381640.59058759,79765941.88643385,,,0.9143476140739561
2025-05-06,2025-05-06,volume,volume,up,188.3521387193533,43398603.17109959,66439808.57825665,,,0.8206498584508065
2025-05-07,2025-05-07,price,price,up,19.708998355474062,0.1617418671062696,0.9823917255570761,92453066.64212972,,
2025-05-08,2025-05-08,price_and_volume,price,up,47.8701104932167,0.4702720045003904,1.4526637300574665,890870289.4531344,863.5919302726253,
2025-05-11,2025-05-11,price_and_volume,price,up,38.846765578502485,0.5340382890707287,1.9087686716852892,741082932.4468697,126.4197415714639,
2025-05-12,2025-05-12,price,price,down,-10.002170089739849,-0.19091828916163056,1.7178503825236586,284750255.51436526,,
2025-05-17,2025-05-17,price,price,up,10.854701834884617,0.1931576982135066,1.9726418439017859,305417940.3374018,,
2025-05-18,2025-05-18,price,price,down,-13.88217907553485,-0.2738456732893786,1.6987961706124073,181476820.36080217,,
2025-05-19,2025-05-19,price_and_volume,price,up,10.072911139827468,0.17111822871257942,1.8699143993249867,282776714.65485203,55.819742759792135,
2025-05-22,2025-05-22,price_and_volume,price,up,12.584272795186635,0.24433453114562553,2.185920947160709,412327712.4685301,181.61806716184543,
2025-05-24,2025-05-24,price,price,down,-12.282034685504595,-0.2673468965048096,1.9093844297821578,166522430.37948176,,
2025-05-28,2025-05-28,price_and_volume,price,up,13.04714495223851,0.2666329871721067,2.310244736318498,174309401.92171678,92.77462753074144,
2025-05-30,2025-05-30,volume,volume,up,117.99189179446094,104318595.0503992,192730259.16043797,,,2.220062243862796
2025-05-31,2025-05-31,price,price,down,-12.743581758641998,-0.28291544713939754,1.9371467967233986,239703060.2513233,,
2025-06-10,2025-06-10,volume,volume,up,52.288928383056565,34036811.00579017,99130535.54427062,,,1.7722484265242002
